shy,timid,afraid,hesitant,nervous,scared,anxious,uneasy,tense,agitated,jittery,frightened,skittish,panicky,aghast,chicken,diffident,disturbed,fainthearted,intimidated,jumpy,lily-livered,mousy,nerveless,nervy,perturbed,phobic,pusillanimous,shaky,sheepish,shrinking,solicitous,spineless,timorous,tremulous,unmanly,worried,yellow,chickenhearted,quivery,aflutter,discomposed,disquieted,goose-bumpy,rabbity,weak-kneed,appalling,astounding,atrocious,awful,baleful,creepy,dire,distressing,dreadful,eerie,formidable,frightful,ghastly,ghoulish,grievous,grim,grisly,gruesome,hair-raising,hideous,horrible,lurid,macabre,monstrous,morbid,overwhelming,redoubtable,shocking,sinister,strange,sublime,terrible,tremendous,unearthly,unspeakable,bloodcurdling,horrendous,horrific,shuddersome
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,demure,nervous,,,,,,,,,,,,,,,,,,,,,,,,teratoid,,,,,,outside,,,,,,,,,unpleasant
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diffident,insecure,,,,,,,,,,,,,,,,,,,,,,,,elephantine,,,,,,remote,,,,,,,,,itching
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flirtatious,shaky,,,,,,,,,,,,,,,,,,,,,,,,fantastic,,,,,,unexplored,,,,,,,,,awe-inspiring
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,humble,ineffectual,,,,,,,,,,,,,,,,,,,,,,,,giant,,,,,,unknown,,,,,,,,,awful
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kittenish,unstable,,,,,,,,,,,,,,,,,,,,,,,,grandiose,,,,,,unrelated,,,,,,,,,creepy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prudish,wobbly,,,,,,,,,,,,,,,,,,,,,,,,great,,,,,,untried,,,,,,,,,dire
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reserved,soft,,,,,,,,,,,,,,,,,,,,,,,,prodigious,,,,,,romanesque,,,,,,,,,frightful
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,retiring,powerless,,,,,,,,,,,,,,,,,,,,,,,,stupendous,,,,,,,,,,,,,,,terrible
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shrinking,indecisive,,,,,,,,,,,,,,,,,,,,,,,,titanic,,,,,,,,,,,,,,,beastly
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shy,giddy,,,,,,,,,,,,,,,,,,,,,,,,vast,,,,,,,,,,,,,,,creepy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coquettish,queasy,,,,,,,,,,,,,,,,,,,,,,,,whopping,,,,,,,,,,,,,,,fearful
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,overmodest,shaky,,,,,,,,,,,,,,,,,,,,,,,,cracking,,,,,,,,,,,,,,,formidable
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unassertive,tipsy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frozen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward,puzzled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gross
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chary,groggy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icky
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coy,befuddled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,distrustful,bewildered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spooky
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doubtful,wobbly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wicked
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dubious,dazed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,godawful
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,humble,unsteady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grody
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insecure,chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,appalling
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,modest,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,astounding
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mousy,blind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,atrocious
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reluctant,muddled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,awful
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reserved,bewildered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baleful
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,retiring,bemused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,creepy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shrinking,puzzled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dire
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suspicious,light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,distressing
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timorous,addled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dreadful
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unobtrusive,reeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eerie
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,withdrawn,upset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,formidable
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,constrained,befuddled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frightful
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blenching,disturbed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghastly
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flinching,dumbfounded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghoulish
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unassertive,staggering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grievous
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unassured,whirling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grim
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unpoised,faint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grisly
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aghast,swimming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gruesome
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chicken,dazzled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hair-raising
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diffident,blinded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hideous
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disturbed,staggered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,horrible
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fainthearted,invertebrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lurid
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intimidated,slight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,macabre
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jumpy,diluted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monstrous
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lily-livered,lame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morbid
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mousy,scattered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,overwhelming
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nerveless,scant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redoubtable
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nervy,stretched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shocking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perturbed,blind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sinister
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,phobic,distracted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,strange
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pusillanimous,muddled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sublime
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shaky,bemused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,terrible
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sheepish,puzzled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tremendous
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shrinking,staggering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unearthly
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,solicitous,addled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unspeakable
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spineless,dazed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bloodcurdling
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timorous,whirling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,horrendous
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tremulous,upset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,horrific
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unmanly,befuddled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abominable
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,worried,disturbed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,accursed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,dumbfounded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,awful
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chickenhearted,light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,catty
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quivery,bewildered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confounded
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aflutter,faint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cursed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discomposed,swimming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,damnable
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disquieted,staggered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,damned
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,goose-bumpy,dazzled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,detestable
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weak-kneed,blinded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aghast,afraid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,execrable
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chicken,anxious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,forbidding
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jittery,apprehensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foul
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jumpy,backward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gross
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lily-livered,base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infamous
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mousy,caitiff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,invidious
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shaky,craven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loathsome
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sissy,diffident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malevolent
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uptight,fainthearted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malign
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shivery,frightened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chicken-hearted,gutless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,offensive
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jellyfish,jittery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pesky
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,terror-stricken,lily-livered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pestiferous
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward,nervous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,repellent
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bashful,pusillanimous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,repugnant
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coy,recreant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,revolting
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,demure,retiring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,undesirable
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diffident,scared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blasted
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meek,shrinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,despiteful
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,modest,shy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,horrid
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recessive,soft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,resentful
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reclusive,spineless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cussed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reticent,timid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uncool
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timid,timorous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timorous,weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unassuming,worthless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unsociable,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,self-effacing,panicky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nongregarious,chicken-hearted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unaffable,cowering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unassertive,cowhearted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unexpansive,dismayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pigeonhearted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow-bellied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cowardly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dastardly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fearful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gutless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lily-livered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pusillanimous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timorous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,poltroonish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wimpish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wimpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wussy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow-bellied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hazy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punch-drunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punchy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tipsy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unsteady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vertiginous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slap-happy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,accommodating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adaptable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agreeable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amenable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,childlike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complacent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ductile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,governable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,humble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manageable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,obliging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orderly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quiet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,resigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teachable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tractable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,usable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
